CMPD_CHEMBLID	CYP3A4	hERG_pIC50
CHEMBL1490938	4.8	*
CHEMBL1332532	5.8	*
CHEMBL1480554	5.5	*
CHEMBL1355831	5	*
CHEMBL2012277	*	5.92
CHEMBL2012244	*	6.12
CHEMBL292477	4.5	*
CHEMBL303336	4.6	*
CHEMBL46523	*	6.54
CHEMBL1441287	4.8	*
CHEMBL24909	6.2	*
CHEMBL1371770	5	*
CHEMBL2069925	*	4.52
CHEMBL2069924	*	4.89
CHEMBL1504335	*	4.56
CHEMBL2069921	*	4.9
CHEMBL1408303	6.3	*
CHEMBL1357429	6.1	*
CHEMBL1435032	5.9	*
CHEMBL1512919	5.6	*
CHEMBL1321094	4.9	*
CHEMBL1552396	5.4	*
CHEMBL1354596	4.6	*
CHEMBL1335644	5.15	*
CHEMBL1486304	5.4	*
CHEMBL1436125	6.1	*
CHEMBL1357018	6	*
CHEMBL1558843	6	*
CHEMBL1433724	6.2	*
CHEMBL1591896	6.2	*
CHEMBL1473996	6	*
CHEMBL1334477	5	*
CHEMBL1437011	5.1	*
CHEMBL1357850	6	*
CHEMBL1518415	6.5	*
CHEMBL1314388	6	*
CHEMBL420539	6	*
CHEMBL119841	5.8	*
CHEMBL1194023	6	*
CHEMBL1190913	5.7	*
CHEMBL1573862	4.9	*
CHEMBL1414251	5.1	*
CHEMBL1438371	5.1	*
CHEMBL1358796	5.7	*
CHEMBL1489182	5.9	*
CHEMBL1355644	6	*
CHEMBL1552519	4.8	*
CHEMBL1408427	5.8	*
CHEMBL1410859	5.1	*
CHEMBL1355139	6.3	*
CHEMBL1331525	6.4	*
CHEMBL1568111	5.9	*
CHEMBL1515034	5.7	*
CHEMBL1590354	5.7	*
CHEMBL1409830	5.7	*
CHEMBL1590077	6	*
CHEMBL1527221	5.7	*
CHEMBL469809	*	4.79
CHEMBL445794	*	4.8
CHEMBL112592	6.2	*
CHEMBL453996	*	5.42
CHEMBL1081779	4.6	*
CHEMBL1338613	4.8	*
CHEMBL58353	4.4	*
CHEMBL224834	*	5.85
CHEMBL224918	*	5.77
CHEMBL2324247	*	7.13
CHEMBL1083706	*	5.53
CHEMBL452864	5.41	5.07
CHEMBL234978	4.9	*
CHEMBL1392359	5.2	*
CHEMBL1374335	5.5	*
CHEMBL1518686	5.8	*
CHEMBL1567238	6	*
CHEMBL1445233	5.7	*
CHEMBL1358395	5.4	*
CHEMBL1547788	4.8	*
CHEMBL1465191	4.8	*
CHEMBL1327466	5.6	*
CHEMBL1201236	4.4	*
CHEMBL1552984	5.5	*
CHEMBL257626	6	*
CHEMBL1452561	5.6	*
CHEMBL1370284	5.8	*
CHEMBL1521278	5.6	*
CHEMBL1334650	5.7	*
CHEMBL1553555	5.7	*
CHEMBL1411009	5.8	*
CHEMBL1368832	5.5	*
CHEMBL1363408	5.1	*
CHEMBL1256718	4.9	*
CHEMBL1599649	4.6	*
CHEMBL1443923	4.8	*
CHEMBL1335455	5.5	*
CHEMBL1314935	5.6	*
CHEMBL1516130	4.6	*
CHEMBL564930	*	5.9
CHEMBL1368577	5.5	*
CHEMBL1591205	5.5	*
CHEMBL1478614	5.5	*
CHEMBL1529093	5.6	*
CHEMBL1597812	6	*
CHEMBL1317148	5	*
CHEMBL1357770	5.2	*
CHEMBL1396661	5.6	*
CHEMBL1314138	5.8	*
