CMPD_CHEMBLID	CYP3A4	hERG_pIC50
CHEMBL3093971	*	5.29
CHEMBL3093967	*	5.45
CHEMBL3093978	*	5.72
CHEMBL3093974	*	5.36
CHEMBL3093970	*	5.46
CHEMBL3093966	*	5.11
CHEMBL590036	*	6.64
CHEMBL589069	*	7.27
CHEMBL591501	*	5.75
CHEMBL563117	*	5.3
CHEMBL562478	*	5.37
CHEMBL1939737	*	4.96
CHEMBL1946620	*	4.8
CHEMBL494462	*	5.1
CHEMBL557257	*	5.35
CHEMBL1819137	*	5.23
CHEMBL1762807	*	6.1
CHEMBL519067	*	5.77
CHEMBL472290	*	5.1
CHEMBL1290058	*	5.6
CHEMBL3582340	*	5.11
CHEMBL3219105	*	4.27
CHEMBL2036751	*	5.68
CHEMBL402542	*	5.08
CHEMBL2036780	*	5
CHEMBL2036773	*	5.1
CHEMBL3580681	*	4.29
CHEMBL3582339	*	5.11
CHEMBL367169	*	6
CHEMBL172854	*	4.85
CHEMBL551412	*	4.92
CHEMBL2031884	*	5.13
CHEMBL2031869	*	4.8
CHEMBL564513	*	6.4
CHEMBL1512027	4.5	*
CHEMBL1316796	4.9	*
CHEMBL1336793	5	*
CHEMBL1517999	4.8	*
CHEMBL1324529	4.6	*
CHEMBL1523314	4.9	*
CHEMBL1590321	4.7	*
CHEMBL1445473	4.9	*
CHEMBL1475686	5	*
CHEMBL1533214	5.2	*
CHEMBL1558135	4.8	*
CHEMBL1592452	4.8	*
CHEMBL1377706	4.6	*
CHEMBL1602568	5	*
CHEMBL1375046	4.9	*
CHEMBL1369824	5.4	*
CHEMBL1319312	5.3	*
CHEMBL1516163	5.1	*
CHEMBL1358252	4.8	*
CHEMBL1437176	5.2	*
CHEMBL1316491	4.8	*
CHEMBL1592804	5.1	*
CHEMBL1592966	4.6	*
CHEMBL1611646	5.2	*
CHEMBL1376290	4.9	*
CHEMBL1316463	4.9	*
CHEMBL1474471	4.8	*
CHEMBL1395431	4.8	*
CHEMBL1450805	5.1	*
CHEMBL1515253	4.8	*
CHEMBL1395974	4.5	*
CHEMBL1474410	5.1	*
CHEMBL1552150	5.1	*
CHEMBL1436179	4.8	*
CHEMBL1316353	4.8	*
CHEMBL1591635	4.8	*
CHEMBL1593663	5.2	*
CHEMBL1600620	5.3	*
CHEMBL1373259	5.6	*
CHEMBL1592964	5.2	*
CHEMBL1590270	4.8	*
CHEMBL1594020	4.8	*
CHEMBL1512023	4.8	*
CHEMBL1455570	4.9	*
CHEMBL1478772	4.7	*
CHEMBL1572173	4.8	*
CHEMBL1784516	*	4.52
CHEMBL1289203	*	4.96
CHEMBL1289083	*	4.77
CHEMBL3408388	*	5.03
CHEMBL3408387	*	4.98
CHEMBL3422982	*	8.1
CHEMBL2336056	*	5.46
CHEMBL3289442	*	5.44
CHEMBL2336055	*	6.1
CHEMBL3289440	*	5.72
CHEMBL3221485	*	4.2
CHEMBL3221495	*	5
CHEMBL3221504	*	4.7
CHEMBL3221498	*	4.2
CHEMBL3221487	*	4.8
CHEMBL3422954	*	8.92
CHEMBL2204249	*	4.84
CHEMBL3605140	*	6.4
CHEMBL3218912	*	4.85
CHEMBL1209070	*	5.67
CHEMBL536991	*	4.5
CHEMBL1762815	*	6.6
CHEMBL1762814	*	6.5
CHEMBL3288810	*	6.22
CHEMBL1209126	*	5.75
CHEMBL559206	*	4.2
CHEMBL3086037	*	5.72
CHEMBL1474475	5.3	*
CHEMBL1327059	4.6	*
CHEMBL1363622	4.5	*
CHEMBL1496664	4.8	*
CHEMBL3805081	*	5.84
CHEMBL3805396	*	5.2
CHEMBL2171033	*	5
CHEMBL2036763	*	4.55
CHEMBL597241	*	5.48
CHEMBL554336	*	5.04
CHEMBL2031882	*	4.49
CHEMBL1946621	*	4.75
CHEMBL561805	*	4.64
CHEMBL2031874	*	4.96
CHEMBL1241824	*	5.4
CHEMBL3823095	*	5.11
CHEMBL1489016	4.5	*
CHEMBL1476139	4.9	*
CHEMBL1397151	5.6	*
CHEMBL1327772	5.3	*
CHEMBL1590341	4.6	*
CHEMBL1417135	4.8	*
CHEMBL1595910	5.5	*
CHEMBL1551295	4.4	*
CHEMBL1411543	7.6	*
CHEMBL1399313	5.5	*
CHEMBL1395882	4.5	*
CHEMBL1481127	5	*
CHEMBL1596743	5.2	*
CHEMBL1555567	5.4	*
CHEMBL1474302	5	*
CHEMBL1398528	4.7	*
CHEMBL1456076	5.2	*
CHEMBL1397177	5.5	*
CHEMBL1591190	4.8	*
CHEMBL455511	*	5.47
CHEMBL3314362	*	4.89
CHEMBL3314349	*	5.31
CHEMBL443922	*	5.67
CHEMBL1092600	*	6.05
CHEMBL559251	*	5.26
CHEMBL657	*	4.5
CHEMBL900	*	6.07
CHEMBL564948	*	5.6
CHEMBL560270	*	5.8
CHEMBL562948	*	5.4
CHEMBL1939738	*	4.82
CHEMBL549375	*	4.82
CHEMBL551269	*	5.03
CHEMBL1496243	4.7	*
CHEMBL1603692	4.6	*
CHEMBL1436042	4.7	*
CHEMBL1598565	5.5	*
CHEMBL1396997	5	*
CHEMBL508712	*	5.7
CHEMBL488249	*	5.25
CHEMBL469589	*	5.2
CHEMBL469375	*	5.3
CHEMBL469374	*	5.4
CHEMBL469345	*	5.4
CHEMBL1083616	*	7.92
CHEMBL1083304	*	7.68
CHEMBL1950490	*	4.75
CHEMBL1441843	4.7	*
CHEMBL1314906	4.9	*
CHEMBL1434022	4.8	*
CHEMBL1397454	4.8	*
CHEMBL1395137	4.9	*
CHEMBL3422238	*	5.31
CHEMBL2333607	*	5.05
CHEMBL2333637	*	4.89
CHEMBL2181296	*	4.79
CHEMBL2181490	*	5.09
CHEMBL1593926	4.9	*
CHEMBL1443425	4.6	*
CHEMBL1455767	4.4	*
CHEMBL1610003	4.6	*
CHEMBL1553179	5.3	*
CHEMBL1475589	4.6	*
CHEMBL1439673	4.9	*
CHEMBL1335967	5	*
CHEMBL1590886	5	*
CHEMBL1326152	4.8	*
CHEMBL1591487	4.5	*
CHEMBL1325335	4.6	*
CHEMBL1473793	4.6	*
CHEMBL1590242	4.7	*
CHEMBL1435899	4.8	*
CHEMBL1513134	4.7	*
CHEMBL1597209	4.6	*
CHEMBL1397257	4.8	*
CHEMBL1396142	4.8	*
CHEMBL1520681	5.3	*
CHEMBL1319286	4.9	*
CHEMBL1356771	5	*
CHEMBL1592517	4.8	*
CHEMBL1327708	4.6	*
CHEMBL1477964	4.8	*
CHEMBL1834789	*	4.62
CHEMBL1834793	5.17	4.36
CHEMBL380684	*	7
CHEMBL206983	*	5.9
CHEMBL403594	*	4.5
CHEMBL2031881	*	5.43
CHEMBL2041178	*	5.07
CHEMBL2031883	*	4.77
CHEMBL2031868	*	4.54
CHEMBL453655	*	4.92
CHEMBL455651	*	4.72
CHEMBL455428	*	4.8
CHEMBL1241912	4	5.8
CHEMBL3823962	*	4.92
CHEMBL453631	*	5.57
CHEMBL453630	*	5.52
CHEMBL488437	*	5.17
CHEMBL444203	*	5.28
CHEMBL513629	*	5.61
CHEMBL461631	*	5.43
CHEMBL527094	*	6.11
CHEMBL487221	*	5.42
CHEMBL2376805	*	4.89
CHEMBL507884	*	5.88
CHEMBL401819	*	5.41
CHEMBL272493	*	5.43
CHEMBL488060	*	5.25
CHEMBL488434	*	5.13
CHEMBL475121	*	5.76
CHEMBL451330	*	5.98
CHEMBL447864	*	5.79
CHEMBL452091	*	5.75
CHEMBL462387	*	6.19
CHEMBL449048	*	5.68
CHEMBL500329	*	6.16
CHEMBL488912	*	5.41
CHEMBL3758674	*	5.95
CHEMBL3219115	*	4.44
CHEMBL3219120	*	4.75
CHEMBL3217923	*	5.13
CHEMBL3217922	*	5.16
CHEMBL387838	*	4.19
CHEMBL230704	*	4.21
CHEMBL231315	*	4.62
CHEMBL230598	*	4.07
CHEMBL3422953	*	8.54
CHEMBL3422967	*	8.28
CHEMBL3612802	*	5.89
CHEMBL3612804	*	5.92
CHEMBL3612803	*	5.96
CHEMBL2017416	*	6.08
CHEMBL2017415	*	6.37
CHEMBL2017414	*	6.06
CHEMBL3608322	*	5.22
CHEMBL3609626	*	5.45
CHEMBL1809075	*	4.85
CHEMBL1809071	*	4.82
CHEMBL1809074	*	5.03
CHEMBL1809070	*	5.09
CHEMBL1809072	*	4.8
CHEMBL1809069	*	4.85
CHEMBL3612797	*	5.55
CHEMBL2146876	*	5.8
CHEMBL3612796	*	5.68
CHEMBL3353409	*	4.81
CHEMBL3353410	*	4.79
CHEMBL3612925	*	4.8
CHEMBL3612810	*	4.48
CHEMBL1952142	5.35	5.5
CHEMBL2043326	*	4.64
CHEMBL2043172	*	5.24
CHEMBL2041177	*	6.19
CHEMBL2041179	*	5.05
CHEMBL2043168	*	5.19
CHEMBL2043325	*	4.89
CHEMBL2043324	*	4.27
CHEMBL2041180	*	4.34
CHEMBL2041181	*	5.15
CHEMBL3422968	*	8.75
CHEMBL2158776	*	5
CHEMBL563052	*	5.33
CHEMBL1403769	4.5	*
CHEMBL1612620	5.2	*
CHEMBL1593219	5	*
CHEMBL1552957	4.6	*
CHEMBL1437164	4.8	*
CHEMBL1317451	4.8	*
CHEMBL1569529	4.9	*
CHEMBL1552542	5.4	*
CHEMBL1592560	4.4	*
CHEMBL1436865	4.9	*
CHEMBL1493644	5.5	*
CHEMBL1354693	4.7	*
CHEMBL1551049	5.3	*
